id,word_freq,match,average_length,cluster_name
1190,"[('neta', 2)]",['neta'],2.0,neta
1191,"[('africa', 3), ('one', 3), ('ltd', 2), ('africaone', 1), ('ug', 1), ('limited', 1)]","['africaone', 'africa one', 'african']",3.0,africa one ltd
1192,"[('realipm', 2), ('ltd', 2), ('real', 2), ('realpm', 1), ('pm', 1), ('co.ltd', 1), ('ipm', 1)]","['realipm', 'real ipm', 'realpm', 'real pm']",2.0,realipm ltd
1193,"[('cullen', 1)]",['cullen'],1.0,cullen
1194,"[('lg', 3), ('haris', 1), ('harris', 1)]",['lg'],2.0,lg haris
1195,"[('antarc', 1)]",['antarc'],1.0,antarc
1196,"[('metsmeta', 1)]",['metsmeta'],1.0,metsmeta
1197,"[('gal', 3), ('limited', 1), ('ltd', 1)]",['gal'],2.0,gal limited
1198,"[('glevak', 1)]",['glevak'],1.0,glevak
1199,"[('axa', 2), ('parenteral', 1)]",['axa'],2.0,axa parenteral
1200,"[('gopaldas', 2), ('ltd', 1)]",['gopaldas'],2.0,gopaldas ltd
1201,"[('nacc', 1), ('med', 1), ('acc', 1)]","['nacc', 'acc']",2.0,nacc med
1202,"[('agravel', 1), ('agrevel', 1), ('algrave', 1)]","['agravel', 'algrave', 'agrevel']",1.0,agravel
1203,"[('eco', 4), ('feed', 1), ('consumer', 1), ('esco', 1), ('seed', 1), ('heco', 1), ('feeds', 1)]","['eco', 'heco', 'esco']",2.0,eco feed
1204,"[('henkel', 4), ('henke', 2), ('shenke', 2), ('ltd', 2), ('jet', 1), ('kenya', 1), ('ag', 1)]","['henke', 'shenke', 'henkel']",2.0,henkel henke
1205,"[('express', 1), ('expresss', 1)]","['express', 'expresss']",1.0,express
1206,"[('baraka', 4), ('farm', 3), ('for', 1), ('planting', 1), ('supplied', 1), ('supliers', 1), ('supplies', 1)]","['baraka for', 'baraka farm']",3.0,baraka farm for
1207,"[('ahadi', 3), ('aadi', 1), ('feeds', 1), ('ltd', 1)]","['aadi', 'ahadi']",2.0,ahadi aadi
1208,"[('tg', 1), ('medical', 1), ('sdn', 1), ('bhd', 1)]",['tg medical'],4.0,tg medical sdn bhd
1209,"[('dmbi', 1)]",['dmbi'],1.0,dmbi
1210,"[('pal', 3), ('', 2), ('vet', 2), ('al', 1), ('rehab', 1)]","['pal-', 'pal', 'al-']",2.0,pal 
1211,"[('byansi', 1)]",['byansi'],1.0,byansi
1212,"[('soft', 4), ('care', 1), ('softq', 1), ('vivy', 1), ('free', 1)]","['soft', 'softq']",2.0,soft care
1213,"[('maulaide', 3), ('maulaida', 1), ('maulid', 1), ('healthcare', 1), ('ltd', 1)]","['maulaida', 'maulaide', 'maulid']",1.0,maulaide
1214,"[('supercal', 1)]",['supercal'],1.0,supercal
1215,"[('alkhemy', 1), ('brands', 1), ('alkemy', 1)]","['alkhemy', 'alkemy']",2.0,alkhemy brands
1216,"[('b.cock', 2), ('bcock', 1), ('brand', 1)]","['b.cock', 'bcock']",1.0,b.cock
1217,"[('prisma', 3), ('pharma', 3), ('prism', 2), ('ltd', 1), ('prima', 1), ('afro', 1), ('prisima', 1)]","['prisma', 'prisima', 'prism', 'prima']",2.0,prisma pharma
1218,"[('mutuchem', 6), ('mtuchem', 3), ('ltd', 2), ('ent', 2), ('muchem', 1), ('enterp', 1), ('mutachem', 1), ('limited', 1), ('mutchem', 1), ('ent.ltd', 1)]","['muchem', 'mutchem', 'mtuchem', 'mutuchem', 'mutachem']",2.0,mutuchem mtuchem
